# testdata/llm/local-endpoints.tsv — the cases of the rule "local address" (T-450).
#
# ONE table for every implementation of the rule. The platform (IsLocalEndpoint in
# internal/llm, T-451), scripts/lib/llm-endpoint.sh and scripts/lib/LlmEndpoint.psm1
# (both through the parity stand, testdata/script-parity) and scripts/compose-lint.sh
# (rule 6 calls llm-endpoint.sh) must give the answer of the second column for the
# URL of the first. The rule is the decision of system-architect#1:
#
#   local   — loopback 127.0.0.0/8 and ::1; localhost and *.localhost;
#             host.docker.internal; a one-word name (a compose service); RFC 1918;
#             link-local 169.254.0.0/16 and fe80::/10; IPv6 ULA fc00::/7;
#             the IPv4-mapped form of each of them;
#   invalid — a configuration error, not the cloud: the any-address 0.0.0.0 and ::;
#             a local host without an explicit port; a port outside 1-65535; and
#             every value normalizeURL of T-206 refuses (no http(s) scheme, user
#             information, a query or a fragment, even an empty one);
#   cloud   — everything else: public addresses, any name with a dot (.local too),
#             CGNAT 100.64.0.0/10, documentation ranges, numeric spellings.
#
# Decisions of this table beyond the list above (T-450, recorded in tasks.md):
#   - a trailing dot is dropped for the reserved names only: localhost.,
#     api.localhost. and host.docker.internal. are local. A dotted quad with it
#     (127.0.0.1., 0.0.0.0.) is not an address to Go's netip.ParseAddr and goes
#     to DNS as a name: cloud, like 127.1. A one-word name with it (ollama.) is an
#     absolute DNS name, not a service of compose: cloud (system-architect#1 on
#     T-450 review #1 M-1);
#   - a one-word name starts with a letter and holds [a-z0-9_-]; 2130706433,
#     0x7f000001, 134744072 and 0x08080808 are numbers, not names: cloud;
#   - a host with a character Go's url.Parse refuses (a space, \ ^ ` { | }) is
#     invalid; the characters url.Parse lets through (~ ! $ & ' ( ) * + , ; =)
#     make a name that is not of the one-word shape: cloud. A space cannot be
#     written in this file; the parity stand holds that case (endpoints.go);
#   - a port that is written counts as explicit, :80 included; leading zeros of a
#     port are not significant (:008888 is 8888);
#   - "host:" with an empty port, brackets around anything but an IPv6 address, and
#     a percent sign in the host (an escape or an IPv6 zone) are invalid;
#   - only 0.0.0.0 of 0.0.0.0/8 is the any-address; 0.0.0.1 is the cloud;
#   - the IPv4-compatible ::127.0.0.1 and NAT64 64:ff9b::/96 are not mapped forms.
#
# Format: lines starting with # and empty lines are skipped; the first other line is
# the header; then one case per line, three fields separated by one TAB: the URL
# (printable ASCII, no spaces), the answer, and the reason in words (not compared).
# Add a case here, never to one implementation only.
url	answer	reason
http://127.0.0.1:8888	local	loopback 127.0.0.0/8
http://127.0.0.1:8888/v1	local	loopback, the base address with /v1
HTTP://127.0.0.1:8888/V1	local	the scheme is case-insensitive, the path is kept
http://127.10.20.30:1234	local	loopback is the whole 127.0.0.0/8
http://127.255.255.255:1	local	upper end of 127.0.0.0/8, port 1 is in range
http://[::1]:8080	local	IPv6 loopback
http://[0:0:0:0:0:0:0:1]:8080	local	IPv6 loopback, uncompressed
http://localhost:1234	local	localhost
http://LOCALHOST:1234	local	a host is case-insensitive
http://localhost.:1234	local	localhost with the root dot is still localhost (RFC 6761)
http://api.localhost.:8080	local	*.localhost with the root dot is still *.localhost
http://api.localhost:8080	local	*.localhost
http://a.b.localhost:8080	local	*.localhost, several labels
http://host.docker.internal:8888	local	the container alias of this machine
http://Host.Docker.Internal:8888	local	the container alias, mixed case
http://host.docker.internal.:8888	local	the container alias with the root dot is still the alias
http://ollama:11434	local	a one-word name is a service of compose
http://core:8090	local	a one-word name is a service of compose
http://Ollama:11434	local	a one-word name, mixed case
http://llm-box_2:8080	local	a one-word name with a hyphen, an underscore and a digit
http://10.0.0.1:8080	local	RFC 1918 10.0.0.0/8
http://172.16.0.1:8080	local	RFC 1918 172.16.0.0/12, lower end
http://172.31.255.254:8080	local	RFC 1918 172.16.0.0/12, upper end
http://192.168.1.10:8080	local	RFC 1918 192.168.0.0/16
http://169.254.10.20:8080	local	link-local 169.254.0.0/16
http://[fe80::1]:8080	local	link-local fe80::/10, lower end
http://[febf:ffff::1]:8080	local	link-local fe80::/10, upper end
http://[fc00::1]:8080	local	IPv6 ULA fc00::/7, lower end
http://[FD12:3456:789a::1]:8080	local	IPv6 ULA fc00::/7, upper half, capitals
http://[::ffff:127.0.0.1]:8888	local	IPv4-mapped loopback, dotted tail
http://[::ffff:7f00:1]:8888	local	IPv4-mapped loopback, hex tail
http://[0:0:0:0:0:ffff:192.168.1.10]:8080	local	IPv4-mapped RFC 1918, uncompressed
http://[::ffff:10.1.2.3]:8080	local	IPv4-mapped RFC 1918 10.0.0.0/8
http://[::ffff:169.254.1.1]:8080	local	IPv4-mapped link-local
http://127.0.0.1:80	local	a written port counts, even the default of the scheme
https://127.0.0.1:443	local	a written port counts, even the default of the scheme
http://127.0.0.1:008888	local	leading zeros of a port are not significant
http://127.0.0.1:65535	local	the upper end of the port range
https://api.openai.com/v1	cloud	a public name
https://api.openai.com	cloud	a cloud address keeps the default port of the scheme
http://ollama.local:11434	cloud	any name with a dot, .local included
http://nas.lan:8080	cloud	any name with a dot
http://ollama.:11434	cloud	a one-word name with the root dot is an absolute DNS name
http://127.0.0.1.:8888	cloud	a dotted quad with the root dot is not an address to netip: a DNS name
http://192.168.1.10.:8080	cloud	RFC 1918 with the root dot is a DNS name, not an address
http://0.0.0.0.:8888	cloud	the any-address with the root dot is a DNS name, not the any-address
http://olla~ma:11434	cloud	a character url.Parse accepts in a host makes a name of no service shape
http://gateway.docker.internal:8080	cloud	only host.docker.internal is the alias of this machine
http://localhost.localdomain:8080	cloud	a name with a dot that is not *.localhost
http://8.8.8.8:80	cloud	a public IPv4 address
http://100.64.0.1:8080	cloud	CGNAT 100.64.0.0/10 is not RFC 1918
http://100.127.255.254:8080	cloud	CGNAT 100.64.0.0/10, upper end
http://172.15.255.254:8080	cloud	just below 172.16.0.0/12
http://172.32.0.1:8080	cloud	just above 172.16.0.0/12
http://192.169.0.1:8080	cloud	just above 192.168.0.0/16
http://169.255.0.1:8080	cloud	just above 169.254.0.0/16
http://192.0.2.10:8080	cloud	documentation TEST-NET-1
http://198.51.100.7:8080	cloud	documentation TEST-NET-2
http://0.0.0.1:8080	cloud	only 0.0.0.0 of 0.0.0.0/8 is the any-address
http://2130706433:8080	cloud	127.0.0.1 as one decimal number is not an address here
http://0x7f000001:8080	cloud	127.0.0.1 as a hex number is not an address here
